City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,grytviken,-54.2811,-36.5092,276.62,95,64,4.66,GS,1705001557
1,enewetak,11.3474,162.3373,300.14,76,69,10.09,MH,1705001607
2,tual,-5.6667,132.75,302.28,77,93,6.55,ID,1705001621
3,stanley,54.868,-1.6985,277.75,94,75,3.6,GB,1705001523
4,talnakh,69.4865,88.3972,257.71,76,100,3.38,RU,1705001587
5,grand falls-windsor,48.9332,-55.6649,276.21,91,96,0.89,CA,1705002098
6,bilibino,68.0546,166.4372,239.75,93,100,1.2,RU,1705001612
7,ancud,-41.8697,-73.8203,289.71,67,5,3.29,CL,1705001675
8,gaigeturi,33.4644,126.3183,282.18,66,75,3.09,KR,1705002099
9,qaqortoq,60.7167,-46.0333,267.21,94,100,1.98,GL,1705001569
10,villa gesell,-37.2639,-56.973,292.07,57,41,5.35,AR,1705001807
11,saipan,15.1355,145.701,298.54,94,0,2.57,MP,1705001608
12,ushuaia,-54.8,-68.3,284.94,50,0,11.83,AR,1705001584
13,bredasdorp,-34.5322,20.0403,292.89,92,42,2.39,ZA,1705001552
14,colonia,50.9333,6.95,272.19,77,0,2.06,DE,1705001387
15,tofol,5.3248,163.0078,301.0,81,20,10.64,FM,1705001693
16,olonkinbyen,70.9221,-8.7187,273.97,92,100,8.33,SJ,1705001586
17,port-aux-francais,-49.35,70.2167,281.1,94,100,8.83,TF,1705001547
18,tiksi,71.6872,128.8694,236.36,97,67,3.75,RU,1705001570
19,adamstown,-25.066,-130.1015,297.49,81,87,7.18,PN,1705001555
20,port mathurin,-19.6833,63.4167,301.19,77,100,2.96,MU,1705001572
21,hadibu,12.65,54.0333,297.24,78,87,4.59,YE,1705001580
22,afaahiti,-17.75,-149.2833,300.08,79,100,7.41,PF,1705001594
23,avarua,-21.2078,-159.775,299.18,73,60,6.69,CK,1705001496
24,waitangi,-43.9535,-176.5597,291.38,92,56,2.68,NZ,1705001558
25,college,64.8569,-147.8028,252.14,68,20,2.06,US,1705001554
26,nar'yan-mar,67.6713,53.087,250.43,99,99,3.13,RU,1705001670
27,punta cana,18.5818,-68.4043,300.82,68,6,2.97,DO,1705001905
28,badger,64.8,-147.5333,252.1,74,20,2.06,US,1705001599
29,hailar,49.2,119.7,238.43,100,79,0.56,CN,1705001669
30,margaret river,-33.95,115.0667,288.79,78,99,6.16,AU,1705001568
31,sarupathar,26.1984,93.8094,285.83,78,0,0.62,IN,1705002105
32,ribeira grande,38.5167,-28.7,289.37,82,75,20.06,PT,1705001605
33,howard springs,-12.497,131.047,299.1,95,100,2.63,AU,1705001666
34,saldanha,-33.0117,17.9442,291.18,98,98,5.17,ZA,1705002106
35,st. john's,47.5649,-52.7093,276.3,96,100,6.69,CA,1705001306
36,menongue,-14.6585,17.691,290.25,88,74,2.4,AO,1705002111
37,bethel,41.3712,-73.414,280.63,57,100,5.14,US,1705001277
38,hermanus,-34.4187,19.2345,294.58,80,92,3.34,ZA,1705001575
39,masjed soleyman,31.9364,49.3039,289.44,43,100,1.88,IR,1705002112
40,blackmans bay,-43.0167,147.3167,289.22,92,36,1.88,AU,1705001554
41,gumla,23.05,84.55,284.64,48,0,2.28,IN,1705002112
42,sotnikovskoye,45.0039,43.7772,273.51,75,100,3.92,RU,1705002112
43,parauapebas,-6.0675,-49.9022,299.14,94,100,1.54,BR,1705002112
44,yellowknife,62.456,-114.3525,231.44,60,40,2.06,CA,1705001566
45,cabo san lucas,22.8909,-109.9124,297.93,46,40,6.69,MX,1705001535
46,oamaru,-45.0784,170.9801,289.47,91,60,3.31,NZ,1705002113
47,cheney,47.4874,-117.5758,270.58,74,75,5.66,US,1705001825
48,edinburgh of the seven seas,-37.0676,-12.3116,291.25,82,3,3.67,SH,1705001558
49,kapa'a,22.0752,-159.319,295.43,69,0,7.2,US,1705001638
50,guerrero negro,27.9769,-114.0611,289.93,58,95,11.75,MX,1705001342
51,mata-utu,-13.2816,-176.1745,302.39,75,99,4.56,WF,1705002114
52,nizhneangarsk,55.7833,109.55,249.82,86,33,2.24,RU,1705002114
53,pak phanang,8.3511,100.202,298.94,83,84,3.12,TH,1705002115
54,tolanaro,-25.0319,46.9987,300.19,83,20,9.77,MG,1705001671
55,baringo,0.4667,35.9667,297.16,59,100,2.25,KE,1705002115
56,ambodifotatra,-16.9833,49.85,301.25,76,100,4.17,MG,1705002115
57,pandan,14.0453,124.1694,298.15,82,100,8.76,PH,1705002116
58,kiunga,-6.1219,141.2906,296.73,100,99,0.75,PG,1705002116
59,isafjordur,66.0755,-23.124,277.22,95,100,2.41,IS,1705001594
60,greenville,35.6127,-77.3663,288.23,46,0,3.6,US,1705001683
61,boende,-0.2167,20.8667,297.18,61,34,1.33,CD,1705002116
62,soe,-9.8607,124.284,292.62,84,93,1.81,ID,1705001665
63,yeraliyev,43.2,51.65,276.98,71,96,4.71,KZ,1705002117
64,ilulissat,69.2167,-51.1,266.16,79,75,2.57,GL,1705001629
65,dudinka,69.4058,86.1778,257.94,91,100,4.47,RU,1705001686
66,chonchi,-42.6128,-73.8092,292.71,52,34,0.97,CL,1705001673
67,papatowai,-46.5619,169.4708,288.52,67,68,6.61,NZ,1705001574
68,kingston,17.997,-76.7936,305.51,65,45,2.24,JM,1705001323
69,nova sintra,14.8667,-24.7167,293.7,68,100,5.57,CV,1705001661
70,sidi bennour,32.6524,-8.4277,288.43,64,86,1.22,MA,1705002119
71,mananjary,-21.2167,48.3333,298.42,87,21,3.35,MG,1705002120
72,sao vicente,-23.9631,-46.3919,309.25,53,0,4.12,BR,1705001657
73,anadyr,64.75,177.4833,259.43,92,100,9.0,RU,1705001594
74,albany,42.6001,-73.9662,278.28,69,98,0.45,US,1705001506
75,pacific grove,36.6177,-121.9166,285.61,53,0,4.02,US,1705001606
76,trevelin,-43.0858,-71.4639,297.81,28,2,4.46,AR,1705002121
77,puerto natales,-51.7236,-72.4875,290.4,51,75,9.26,CL,1705001567
78,taupo,-38.6833,176.0833,290.09,70,99,1.93,NZ,1705002122
79,east london,-33.0153,27.9116,295.77,90,100,6.63,ZA,1705001641
80,kuanda,56.3161,116.0806,243.54,98,96,0.7,RU,1705002122
81,burutu,5.3509,5.5076,301.64,76,91,4.34,NG,1705002122
82,belogorsk,50.9158,128.4611,244.46,99,100,1.41,RU,1705002128
83,longyearbyen,78.2186,15.6401,258.06,66,0,7.2,SJ,1705001582
84,udachny,66.4167,112.4,233.78,100,73,1.92,RU,1705001574
85,fale old settlement,-9.3852,-171.2468,302.34,74,100,5.34,TK,1705001610
86,kidal,18.4411,1.4078,297.51,11,100,4.01,ML,1705002129
87,san antonio de pale,-1.4014,5.6325,300.26,75,60,4.28,GQ,1705001656
88,vila velha,-20.3297,-40.2925,303.12,71,20,8.75,BR,1705001718
89,bangassou,4.7413,22.8184,296.59,30,11,1.09,CF,1705002130
90,island harbour,50.724,-1.2758,278.67,85,99,2.68,GB,1705001555
91,newman,37.3138,-121.0208,283.74,46,5,5.36,US,1705002130
92,qamdo,31.1667,97.2333,263.28,24,0,0.87,CN,1705002131
93,peace river,56.2501,-117.286,240.32,62,75,3.09,CA,1705002131
94,miami,25.7743,-80.1937,294.15,85,100,4.12,US,1705001509
95,port elizabeth,-33.918,25.5701,295.43,93,20,4.12,ZA,1705001575
96,atafu village,-8.5421,-172.5159,301.95,77,100,5.15,TK,1705001571
97,monte alegre,-2.0078,-54.0692,304.2,56,80,2.17,BR,1705002122
98,karratha,-20.7377,116.8463,302.85,44,52,8.33,AU,1705001984
99,jamestown,42.097,-79.2353,275.92,96,100,4.63,US,1705001388
100,whitehorse,60.7161,-135.0538,237.76,63,20,0.0,CA,1705001606
101,kapuskasing,49.4169,-82.4331,257.2,72,100,3.09,CA,1705001562
102,mae hong son,19.3003,97.9685,289.41,58,2,0.57,TH,1705002133
103,amalapuram,16.5833,82.0167,294.0,91,30,1.49,IN,1705002134
104,lihue,21.9789,-159.3672,295.02,68,0,7.2,US,1705001612
105,fort mcmurray,56.7268,-111.381,237.92,68,100,3.6,CA,1705001573
106,utrik,11.2278,169.8474,299.65,80,28,10.76,MH,1705001575
107,lagunas,-5.2269,-75.6753,301.95,65,100,1.79,PE,1705001605
108,takayama,36.1333,137.25,270.2,76,64,0.86,JP,1705002135
109,port blair,11.6667,92.75,299.17,83,40,2.06,IN,1705001704
110,brisas de zicatela,15.8369,-97.0419,296.44,100,0,4.12,MX,1705002136
111,spring creek,40.7266,-115.5859,266.98,72,73,1.79,US,1705002136
112,rio grande,-32.035,-52.0986,300.21,73,100,7.53,BR,1705001358
113,saint-pierre,-21.3393,55.4781,298.97,69,0,4.63,RE,1705001679
114,flying fish cove,-10.4217,105.6791,297.97,94,97,0.0,CX,1705001571
115,salalah,17.0151,54.0924,298.2,65,75,2.57,OM,1705001664
116,butembo,0.15,29.2833,289.78,77,100,1.43,CD,1705002137
117,djelfa,34.6728,3.263,278.78,85,36,4.93,DZ,1705002137
118,topeka,39.0483,-95.678,275.94,83,0,5.14,US,1705002138
119,west island,-12.1568,96.8225,300.14,94,40,2.57,CC,1705001597
120,sao joao da barra,-21.6403,-41.0511,303.2,78,63,9.85,BR,1705002138
121,santo antonio do ica,-3.1022,-67.9397,300.37,92,90,0.72,BR,1705002139
122,eyl,7.9803,49.8164,297.55,81,46,8.2,SO,1705001565
123,praia da vitoria,38.7333,-27.0667,289.68,82,40,12.93,PT,1705001714
124,walvis bay,-22.9575,14.5053,290.98,82,72,3.09,NA,1705001618
125,kharp,66.8014,65.8081,252.78,85,100,4.89,RU,1705002140
126,biloela,-24.4167,150.5,294.6,82,7,6.0,AU,1705002140
127,lochbuie,40.0072,-104.7161,270.58,58,100,6.17,US,1705002141
128,taltal,-25.4,-70.4833,295.44,69,27,4.27,CL,1705002141
129,quellon,-43.1167,-73.6167,289.23,65,10,5.17,CL,1705001649
130,la passe,45.5549,-0.8967,276.49,79,0,5.25,FR,1705001608
131,masterton,-40.9597,175.6575,292.53,61,7,1.74,NZ,1705001697
132,hamilton,39.1834,-84.5333,282.54,63,40,6.69,US,1705001564
133,buka,40.8108,69.1986,278.33,79,98,1.63,UZ,1705001651
134,konarka,19.9,86.1167,293.37,72,0,2.66,IN,1705002143
135,wailua homesteads,22.0669,-159.378,294.68,70,0,7.2,US,1705001595
136,san patricio,28.017,-97.5169,297.2,57,10,7.88,US,1705001669
137,verkhnyaya pyshma,56.9667,60.5808,255.12,80,100,4.3,RU,1705002067
138,playa del ingles,27.7567,-15.5787,295.04,37,0,0.83,ES,1705001890
139,payerne,46.822,6.9361,272.55,92,100,4.63,CH,1705002144
140,georgetown,5.4112,100.3354,301.11,84,20,4.63,MY,1705001421
141,saint-affrique,43.9558,2.8892,275.81,99,100,1.38,FR,1705002145
142,nangong,37.3581,115.3744,270.52,88,1,1.91,CN,1705002146
143,bulungu,-4.55,18.6,295.8,92,99,1.25,CD,1705002147
144,inarajan village,13.2736,144.7484,299.23,94,100,5.59,GU,1705001706
145,kalmunai,7.4167,81.8167,299.07,78,100,4.36,LK,1705001655
146,kerikeri,-35.2268,173.9474,293.66,93,100,1.03,NZ,1705001689
147,belmonte,-15.8631,-38.8828,300.7,67,27,2.99,BR,1705002148
148,faya-largeau,17.9257,19.1043,291.74,11,0,6.22,TD,1705002148
149,malpica,43.3228,-8.8105,278.91,76,25,6.43,ES,1705002148
150,klaksvik,62.2266,-6.589,279.66,80,100,2.42,FO,1705002148
151,sansepolcro,43.5747,12.143,274.87,90,37,2.8,IT,1705002149
152,acajutla,13.5928,-89.8275,302.83,59,10,3.46,SV,1705002149
153,aasiaat,68.7098,-52.8699,256.17,99,96,3.82,GL,1705001566
154,codrington,-38.2667,141.9667,286.2,82,37,3.76,AU,1705002149
155,fort bragg,35.139,-79.006,289.21,42,0,4.12,US,1705001611
156,tazovsky,67.4667,78.7,247.12,91,27,5.87,RU,1705001579
157,embi,48.8264,58.1442,258.19,87,100,6.16,KZ,1705002150
158,acapulco de juarez,16.8634,-99.8901,303.05,62,40,4.63,MX,1705002140
159,invercargill,-46.4,168.35,289.27,74,94,5.36,NZ,1705001563
160,okahao,-17.885,15.0667,296.53,62,100,7.09,NA,1705002151
161,amherst,41.3978,-82.2224,276.71,76,100,9.26,US,1705002151
162,itoman,26.1247,127.6694,289.16,55,75,4.12,JP,1705002151
163,lompoc,34.6391,-120.4579,288.03,51,0,7.72,US,1705002152
164,homun,20.7333,-89.2833,305.13,40,100,3.11,MX,1705002152
165,pindushi,62.9152,34.58,261.42,85,32,5.38,RU,1705002152
166,muravlenko,63.7898,74.523,250.66,94,100,9.29,RU,1705002152
167,sinabang,2.4803,96.3801,299.71,81,100,0.14,ID,1705001693
168,tingi,-11.3,35.0333,291.57,94,100,1.15,TZ,1705002153
169,cold lake,54.4502,-110.2017,242.12,62,20,3.6,CA,1705002153
170,harper,4.375,-7.7169,299.99,82,44,2.82,LR,1705002153
171,shambu,9.5667,37.1,285.84,39,56,0.53,ET,1705002153
172,touros,-5.1989,-35.4608,301.22,64,0,5.93,BR,1705001561
173,haiku-pauwela,20.9219,-156.3051,297.62,70,40,7.72,US,1705001585
174,laibin,23.7,109.2667,287.23,93,100,1.7,CN,1705002154
175,wau,7.7029,27.9953,300.17,30,62,2.22,SS,1705002154
176,kodiak,57.79,-152.4072,276.88,93,100,12.35,US,1705001321
177,dolores,-36.3132,-57.6792,297.24,37,5,3.87,AR,1705002155
178,vanimo,-2.6741,141.3028,299.05,90,100,1.33,PG,1705002155
179,fada,9.5667,8.3,294.28,10,28,2.72,NG,1705001579
180,ust-nera,64.5667,143.2,236.4,98,100,1.72,RU,1705001656
181,constantia,44.1833,28.65,271.53,58,4,7.51,RO,1705001688
182,sinan,34.8262,126.1086,278.21,69,100,6.89,KR,1705002156
183,nishinoomote,30.7333,131.0,287.63,59,5,10.29,JP,1705001612
184,san francisco,37.7749,-122.4194,285.83,54,20,2.57,US,1705001982
185,bubaque,11.2833,-15.8333,299.55,66,37,6.46,GW,1705001572
186,hithadhoo,-0.6,73.0833,301.67,75,100,6.0,MV,1705001578
187,bekalta,35.6174,10.9947,284.16,55,27,1.75,TN,1705002157
188,port saint john's,-31.6229,29.5448,296.35,91,56,3.53,ZA,1705001582
189,port lincoln,-34.7333,135.8667,292.2,75,0,2.99,AU,1705002158
190,taguatinga,-12.3857,-46.5711,303.76,57,100,2.1,BR,1705002158
191,katsuura,35.1333,140.3,283.05,65,0,5.9,JP,1705002158
192,iskateley,67.6803,53.1512,250.38,99,100,3.13,RU,1705001353
193,thompson,55.7435,-97.8558,247.24,70,75,1.54,CA,1705002159
194,uturoa,-16.7333,-151.4333,301.03,74,100,4.46,PF,1705001611
195,hawaiian paradise park,19.5933,-154.9731,298.65,90,20,1.54,US,1705001567
196,levanger,63.7464,11.2996,277.18,95,100,7.74,NO,1705002159
197,iqaluit,63.7506,-68.5145,254.09,77,100,1.54,CA,1705001562
198,bandarbeyla,9.4942,50.8122,298.24,76,41,7.59,SO,1705001658
199,kruisfontein,-34.0033,24.7314,294.2,97,29,1.86,ZA,1705001669
200,bovalino,38.149,16.174,285.56,89,100,3.2,IT,1705002160
201,porto novo,6.4965,2.6036,302.05,77,11,3.68,BJ,1705002160
202,gadzhiyevo,69.2551,33.3362,266.81,75,100,2.32,RU,1705001564
203,polyarnyy,69.1989,33.4478,267.22,75,100,2.31,RU,1705001651
204,myeik,12.4333,98.6,297.63,77,100,1.52,MM,1705002161
205,iwanai,42.9744,140.5089,274.48,89,100,4.38,JP,1705002161
206,rio san juan,19.6439,-70.0763,303.79,77,6,6.68,DO,1705001731
207,majene,-3.5403,118.9707,299.69,80,100,3.5,ID,1705002162
208,puerto aysen,-45.4,-72.7,288.44,83,99,1.34,CL,1705001453
209,marat,25.0701,45.4615,291.04,18,4,2.51,SA,1705002162
210,kokpekty,48.75,82.4,262.4,77,47,6.16,KZ,1705001907
211,cururupu,-1.8283,-44.8683,302.16,67,100,2.42,BR,1705002163
212,puerto madryn,-42.7692,-65.0385,295.77,33,0,9.31,AR,1705002046
213,leh,34.1667,77.5833,268.01,30,95,0.43,IN,1705002163
214,gamba,-2.65,10.0,298.59,84,81,1.27,GA,1705001613
215,twin falls,42.3505,-114.6445,270.34,59,75,7.2,US,1705002164
216,itupiranga,-5.1347,-49.3267,299.33,91,100,0.74,BR,1705002169
217,usinsk,65.9939,57.5281,250.41,97,100,8.05,RU,1705001655
218,lebu,-37.6167,-73.65,289.46,73,0,7.36,CL,1705001573
219,korla,41.7597,86.1469,270.26,62,83,1.44,CN,1705001664
220,klyuchi,52.2667,79.1667,255.0,85,92,6.88,RU,1705002170
221,minot,48.2325,-101.2963,254.27,65,40,8.23,US,1705001940
222,tamiahua,21.2667,-97.45,298.8,62,98,1.99,MX,1705001663
223,suya,9.4667,3.1833,300.26,10,84,1.86,NG,1705002171
224,xifeng,42.7372,124.7222,256.99,97,35,1.78,CN,1705002171
225,tweed heads,-28.1817,153.547,296.46,80,40,4.12,AU,1705002171
226,beau vallon,-20.4189,57.6953,300.28,83,75,3.09,MU,1705001735
227,strezhevoy,60.7333,77.5889,250.98,88,100,6.81,RU,1705002172
228,tila,17.4,-92.4833,303.53,50,43,2.07,MX,1705002172
229,ain sukhna,29.6002,32.3167,288.74,59,79,2.79,EG,1705002173
230,dhuusamarreeb,5.535,46.3861,296.76,67,55,7.12,SO,1705002173
231,port alfred,-33.5906,26.891,294.92,96,80,0.89,ZA,1705001667
232,yima,34.7381,111.8839,278.11,45,0,1.59,CN,1705002174
233,arkhangel'sk,64.5401,40.5433,254.21,84,75,1.0,RU,1705002174
234,coahuayana de hidalgo,18.7,-103.6583,302.65,51,87,3.09,MX,1705001678
235,santa ana,33.7456,-117.8678,290.81,33,20,3.09,US,1705002174
236,happy valley-goose bay,53.3168,-60.3315,272.32,86,100,4.12,CA,1705001412
237,remire-montjoly,4.9167,-52.2667,301.17,83,75,3.6,GF,1705001660
238,kristinestad,62.2743,21.376,265.93,87,100,2.02,FI,1705002175
239,saint-philippe,-21.3585,55.7679,298.92,83,75,5.01,RE,1705002175
240,salanso,12.1833,-4.0833,302.57,11,3,2.37,BF,1705002176
241,delijan,33.9905,50.6838,279.81,58,80,1.23,IR,1705002176
242,kuytun,54.3419,101.5036,253.48,96,87,2.79,RU,1705002176
243,cill airne,52.05,-9.5167,274.65,91,5,1.49,IE,1705002176
244,luderitz,-26.6481,15.1594,291.03,82,0,7.09,NA,1705001693
245,dengzhou,37.8086,120.7508,275.12,62,0,3.72,CN,1705002177
246,bonthe,7.5264,-12.505,300.59,80,59,4.09,SL,1705002177
247,barra de santo antonio,-9.4047,-35.5072,301.75,69,29,4.08,BR,1705002177
248,yurga,55.7231,84.8861,256.91,93,100,5.54,RU,1705002177
249,yurgamysh,55.3714,64.4656,248.62,87,94,5.16,RU,1705002177
250,camabatela,-8.1881,15.375,290.48,98,98,2.26,AO,1705002178
251,lautoka,-17.6167,177.4667,299.07,83,40,1.54,FJ,1705002178
252,szczawnica,49.4244,20.4849,273.21,96,98,2.05,PL,1705002178
253,tangalle,6.024,80.7911,298.05,80,87,6.96,LK,1705001580
254,yuzhno-kurilsk,44.0306,145.8556,272.8,78,100,10.79,RU,1705001667
255,kirchberg,50.6167,12.5333,270.74,92,100,2.12,DE,1705002179
256,kill devil hills,36.0307,-75.676,287.15,58,0,2.06,US,1705002179
257,moires,35.0532,24.8744,283.57,79,51,1.79,GR,1705002179
258,vorozhba,51.1733,34.2192,268.04,91,100,7.17,UA,1705002180
259,wad medani,14.4012,33.5199,299.28,32,3,4.83,SD,1705002180
260,ponta delgada,37.7333,-25.6667,289.55,82,40,8.75,PT,1705002180
261,lago da pedra,-4.3333,-45.1667,300.83,81,100,1.06,BR,1705002180
262,ballina,-28.8667,153.5667,292.47,81,9,4.81,AU,1705002181
263,ust'-ordynskiy,52.805,104.7508,254.16,96,100,2.99,RU,1705002181
264,maputo,-25.9653,32.5892,299.97,89,75,2.27,MZ,1705002181
265,antofagasta,-23.65,-70.4,295.75,68,21,5.13,CL,1705001518
266,alice springs,-23.7,133.8833,296.9,53,19,3.94,AU,1705001733
267,anna regina,7.2644,-58.5077,299.58,83,11,3.59,GY,1705002182
268,fortuna,40.5982,-124.1573,282.03,93,75,3.09,US,1705001665
269,mount gambier,-37.8333,140.7667,286.98,82,7,1.84,AU,1705001697
270,sitka,57.0531,-135.33,266.09,38,0,5.14,US,1705001598
271,idrinskoye,54.3708,92.1358,260.35,96,100,1.54,RU,1705002183
